STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,LOCATION_T,PARENT_STA,TRIP_COUNT,TRIP_IDS,ROUTE_IDS,ROUTE_NAMS
"0101CAV","Church Of Acts/Velvet Lounge",-1.203525,36.785397,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101CEF","Kwa Chief",-1.216447681,36.8218857,0,"NULL",1,"1107D111","10000107D11","107D"
"0101CHC","Christco Church",-1.19628,36.75294,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101CHF","Sub Chief",-1.219799,36.77819699999,0,"NULL",1,"10108111","10200010811","108"
"0101CPK","City Park",-1.26057,36.82614999999,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101DGG","Ridgesways Girls",-1.215046,36.86468299999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101DPB","Delta Petrol Station/Border",-1.20918,36.7882,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101ETA","Marrieta",-1.143779,36.661749,0,"NULL",1,"10114111","10000114011","114R"
"0101FRK","Furaha/Kag Ndenderu/Catholic",-1.1954,36.75175,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101GOG","Guango",-1.195673,36.780783,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101GRJ","Gacharage Junction",-1.20041,36.76057999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101GVS","Green Valley School",-1.125007,36.677194,0,"NULL",1,"10116111","10000116011","116"
"0101HMO","Chamoka",-1.218749052,36.77409947,0,"NULL",1,"10108111","10200010811","108"
"0101HUS","SDA Church",-1.220481759,36.76972746999,0,"NULL",1,"10108111","10200010811","108"
"0101HWO","Mwisho Road",-1.222670442,36.78127706,0,"NULL",1,"10108111","10200010811","108"
"0101IAI","Gwaiti",-1.18060112,36.72631859999,0,"NULL",1,"10114111","10000114011","114R"
"0101IGA","Kahigo",-1.203356981,36.77130996999,0,"NULL",1,"10114111","10000114011","114R"
"0101ION","Junction To Limuru Town",-1.133245,36.64356399999,0,"NULL",1,"10114111","10000114011","114R"
"0101IRR","River",-1.221822864,36.77986622,0,"NULL",1,"10108111","10200010811","108"
"0101JAK","Jakai",-1.219745,36.77222199999,0,"NULL",1,"10108111","10200010811","108"
"0101JHS","Jamhuri High School",-1.27335,36.82296999999,0,"NULL",6,"10106111 10107111 10114111 10116111 1011A111 1011F111","10300106011 10400010711 10000114011 10000116011 10100011A11 10300011F11","106 107 114R 116 11A 11B"
"0101JLI","Jua Kali",-1.211161,36.87448599999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101KAT","Kwa Njoki/Ack Thimbigwa",-1.183893,36.76363599999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101KCK","Kenchic",-1.132763,36.697946,0,"NULL",1,"10116111","10000116011","116"
"0101KHR","Kahawa Railways Roundabout",-1.185664,36.90666699999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101KKB","Kamukabi",-1.222324,36.78062299999,0,"NULL",1,"10108111","10200010811","108"
"0101KME","Kimera Medical Centre",-1.146608,36.71675299999,0,"NULL",1,"10116111","10000116011","116"
"0101KOB","Kobil/Banana",-1.17466,36.759053,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101KTO","Kwa Moturi/Gachiraini",-1.20202,36.76619999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101LIK","Likoni",-1.178733,36.760654,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101LMA","Mlanda",-1.219961411,36.76738858,0,"NULL",1,"10108111","10200010811","108"
"0101LMC","Limuru Catering",-1.124567,36.679518,0,"NULL",1,"10116111","10000116011","116"
"0101LSC","Life Sanctuary Church/Muchatha Shopping Centre",-1.19145,36.77507099999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MCC","Muchatha Shopping Centre",-1.192055,36.775879,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MCY","Mothers Mercys",-1.180059,36.725487,0,"NULL",1,"10114111","10000114011","114R"
"0101MDS","Muchatha Dispensary/Kwa Shule/Yamongo Drive",-1.189723,36.773257,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MIC","Mary Immaculate Catholic Church/Muchatha Shopping Centre",-1.190698,36.774211,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MIM","Mimosa",-1.212005,36.80476699999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101M.K","K.M.",-1.16617772,36.91985339,0,"NULL",1,"1107D111","10000107D11","107D"
"0101MKB","Mkulima Supermarket/Banana",-1.175287,36.75929099999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MOM","Mombasa",-1.177906,36.760269,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101MRB","Maramba Tea Factory",-1.134492,36.70345799999,0,"NULL",1,"10116111","10000116011","116"
"0101MTH","Muthaiga Junction",-1.228633,36.798518,0,"NULL",1,"10108111","10200010811","108"
"0101MUC","Redeemed/Pefa Muchatha",-1.197213,36.782874,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101NDJ","Ndenderu Junction/Makutano",-1.192266,36.743758,0,"NULL",1,"10107111","10400010711","107"
"0101N'G","Kwa Ng'ang'a",-1.217756635,36.77814424,0,"NULL",1,"10108111","10200010811","108"
"0101NGG","Nyari Gate 3",-1.225371,36.78559599999,0,"NULL",1,"10108111","10200010811","108"
"0101NJK","Kwa Njoki Kamili",-1.184899,36.76449199999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101NRE","Nish Raaj Estate",-1.25862,36.81483999999,0,"NULL",1,"1011A111","10100011A11","11A"
"0101NRP","Roundabout Eastern Bypass",-1.155165,36.926129,0,"NULL",1,"1107D111","10000107D11","107D"
"0101NTO","Kwa Kanisa ACK/National Oil",-1.193291,36.77753599999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101NYG","Nyari Gate 2",-1.225544,36.791386,0,"NULL",1,"10108111","10200010811","108"
"0101NYP","Nyari Police",-1.225594,36.787764,0,"NULL",1,"10108111","10200010811","108"
"0101NYR","Nyari/Barrier 1",-1.226487,36.795583,0,"NULL",1,"10108111","10200010811","108"
"0101OOO","Githogoro",-1.216517419,36.82500242999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101OTA","National Oil",-1.193820602,36.74957334999,0,"NULL",1,"10107111","10400010711","107"
"0101PMR","Pm Flats/ Runda View",-1.20429,36.77438999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101PMV","Pm Flats/ Runda View 2",-1.20369,36.77217999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101POW","Power",-1.217477,36.77821399999,0,"NULL",1,"10108111","10200010811","108"
"0101RCC","Ruaka Catholic Church",-1.2062,36.78054999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101RCK","Ruaka ACK Church",-1.20676,36.78381999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101RDC","Ruaka DC",-1.2065,36.78170999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101RED","Red Hill/Posta",-1.17081,36.70855399999,0,"NULL",1,"10114111","10000114011","114R"
"0101REE","Runda Estate Entrance",-1.2186,36.80167999999,0,"NULL",5,"10106111 10107111 10114111 10116111 1011F111","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0101REN","Redeemed Ndenderu",-1.19238,36.74504,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101RIE","Limuru Diaries",-1.125841,36.642507,0,"NULL",1,"10114111","10000114011","114R"
"0101RIH","Commissioner of Higher Education",-1.227861643,36.79806501,0,"NULL",1,"10108111","10200010811","108"
"0101RJI","Ruiru Road Junction",-1.152135,36.91984,0,"NULL",1,"1107D111","10000107D11","107D"
"0101RKJ","Ruaka Junction",-1.207095981,36.78598165999,0,"NULL",2,"10106111 10116111","10300106011 10000116011","106 116"
"0101RMY","Rumenye",-1.19961,36.75793999999,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
